City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
59,Calabar,NG,2021-10-09 20:42:57,4.9517,8.322,74.82,96,100,1.81,overcast clouds
60,Chilliwack,CA,2021-10-09 20:42:43,49.1747,-121.9443,57.83,79,100,0.0,overcast clouds
61,Nuevo Laredo,MX,2021-10-09 20:40:51,27.4763,-99.5164,96.78,31,1,6.91,clear sky
62,Grand Gaube,MU,2021-10-09 20:42:58,-20.0064,57.6608,72.37,73,1,10.0,clear sky
63,Anuradhapura,LK,2021-10-09 20:42:59,8.3565,80.4173,77.52,87,100,9.04,overcast clouds
64,Borba,BR,2021-10-09 20:42:59,-4.3878,-59.5939,87.4,57,61,1.72,broken clouds
65,Busselton,AU,2021-10-09 20:41:09,-33.65,115.3333,41.09,79,93,7.76,overcast clouds
66,Port Hardy,CA,2021-10-09 20:42:20,50.6996,-127.4199,50.18,93,90,6.91,moderate rain
67,Klaksvik,FO,2021-10-09 20:42:59,62.2266,-6.589,50.92,84,63,21.61,broken clouds
68,El Dorado,US,2021-10-09 20:43:00,38.7666,-120.5177,66.42,39,0,1.99,clear sky
69,Kembe,CF,2021-10-09 20:43:00,4.6228,21.8865,72.1,98,100,2.06,moderate rain
70,Cape Town,ZA,2021-10-09 20:40:33,-33.9258,18.4232,61.11,61,0,10.36,clear sky
71,Kambove,CD,2021-10-09 20:43:01,-10.8764,26.5969,72.66,33,16,3.51,few clouds
72,Clyde River,CA,2021-10-09 20:42:55,70.4692,-68.5914,34.7,75,100,12.84,overcast clouds
73,Puerto Ayora,EC,2021-10-09 20:40:25,-0.7393,-90.3518,78.76,85,90,7.0,overcast clouds
74,Upernavik,GL,2021-10-09 20:43:02,72.7868,-56.1549,31.42,53,99,13.31,overcast clouds
75,Saint-Augustin,CA,2021-10-09 20:42:25,51.226,-58.6502,47.23,50,10,5.28,clear sky
76,Galle,LK,2021-10-09 20:43:02,6.0367,80.217,80.24,83,100,11.61,overcast clouds
77,Iqaluit,CA,2021-10-09 20:43:03,63.7506,-68.5145,35.33,93,90,4.0,overcast clouds
78,Campo Formoso,BR,2021-10-09 20:43:03,-10.5075,-40.3214,81.19,32,70,5.84,broken clouds
79,Namibe,AO,2021-10-09 20:38:27,-15.1961,12.1522,65.44,77,4,3.76,clear sky
80,Dingle,PH,2021-10-09 20:43:03,10.9995,122.6711,74.82,95,100,10.38,overcast clouds
81,Luderitz,NA,2021-10-09 20:43:04,-26.6481,15.1594,63.54,58,68,17.31,broken clouds
82,Moose Factory,CA,2021-10-09 20:43:04,51.2585,-80.6094,69.8,83,75,8.05,broken clouds
83,Yellowknife,CA,2021-10-09 20:38:13,62.456,-114.3525,44.42,99,90,3.0,light rain
84,Alofi,NU,2021-10-09 20:43:05,-19.0595,-169.9187,78.69,83,75,5.75,broken clouds
85,Georgetown,MY,2021-10-09 20:43:05,5.4112,100.3354,79.9,92,20,1.99,few clouds
86,Zhangye,CN,2021-10-09 20:43:05,38.9342,100.4517,37.72,26,0,2.75,clear sky
87,Ponta Do Sol,PT,2021-10-09 20:43:06,32.6667,-17.1,72.23,72,24,5.35,few clouds
88,Chute-Aux-Outardes,CA,2021-10-09 20:43:06,49.1168,-68.399,54.41,71,1,6.91,clear sky
89,Sulangan,PH,2021-10-09 20:43:07,11.1373,123.7228,82.22,78,100,25.43,light rain
90,Mollendo,PE,2021-10-09 20:43:07,-17.0231,-72.0147,63.5,88,88,10.04,overcast clouds
91,Atherton,GB,2021-10-09 20:43:07,53.5237,-2.4935,60.3,92,100,1.01,overcast clouds
92,Saint-Francois,FR,2021-10-09 20:43:08,46.4154,3.9054,51.24,93,75,1.14,broken clouds
93,Male,MV,2021-10-09 20:43:08,4.1748,73.5089,84.15,84,75,11.5,broken clouds
94,Ambunti,PG,2021-10-09 20:43:08,-4.2365,142.8448,74.91,99,97,0.89,overcast clouds
95,Maumere,ID,2021-10-09 20:43:09,-8.6199,122.2111,77.9,82,32,5.1,scattered clouds
96,Shubarshi,KZ,2021-10-09 20:43:09,48.5872,57.1869,45.3,45,0,7.16,clear sky
97,Fort Nelson,CA,2021-10-09 20:41:19,58.8053,-122.7002,54.99,35,20,6.91,few clouds
98,Gdansk,PL,2021-10-09 20:41:28,54.3521,18.6464,43.09,93,83,1.14,broken clouds
99,Porto Walter,BR,2021-10-09 20:43:10,-8.2686,-72.7439,92.52,43,100,1.79,overcast clouds
