City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
79,Namibe,AO,65.44,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
80,Dingle,PH,74.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
82,Moose Factory,CA,69.8,broken clouds,51.2585,-80.6094,Moosonee Lilypad
83,Yellowknife,CA,44.42,light rain,62.456,-114.3525,The Explorer Hotel
84,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
85,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
86,Zhangye,CN,37.72,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
87,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
88,Chute-Aux-Outardes,CA,54.41,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
89,Sulangan,PH,82.22,light rain,11.1373,123.7228,Maia's Beach Resort
90,Mollendo,PE,63.5,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
91,Atherton,GB,60.3,overcast clouds,53.5237,-2.4935,The Lion Inn
92,Saint-Francois,FR,51.24,broken clouds,46.4154,3.9054,Manoir Du Bonheur
93,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
94,Ambunti,PG,74.91,overcast clouds,-4.2365,142.8448,Ambunti Lodge
95,Maumere,ID,77.9,scattered clouds,-8.6199,122.2111,Sylvia Hotel
97,Fort Nelson,CA,54.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
98,Gdansk,PL,43.09,broken clouds,54.3521,18.6464,Q Hotel Grand Cru Gdańsk
99,Porto Walter,BR,92.52,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
100,Olafsvik,IS,41.77,broken clouds,64.8945,-23.7142,Hotel Olafsvik
101,Bengkulu,ID,76.69,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
102,Maragogi,BR,75.85,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
103,Maymyo,MM,66.31,scattered clouds,22.0333,96.4667,Tiger Hotel
104,Badvel,IN,77.72,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
105,Airai,TL,58.75,overcast clouds,-8.9266,125.4092,Juvinal Martin
106,Kalabo,ZM,84.85,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
107,Souillac,MU,72.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
108,Tuatapere,NZ,52.83,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
